Provinsi;Tahun;Bulan;Kunjungan
SULAWESI UTARA;2020;9;282281
SULAWESI TENGAH;2020;9;132882
SULAWESI SELATAN;2020;9;850322
SULAWESI TENGGARA;2020;9;206855
GORONTALO;2020;9;94892
SULAWESI BARAT;2020;9;75891
MALUKU;2020;9;23965
MALUKU UTARA;2020;9;47792
PAPUA BARAT;2020;9;23906
PAPUA BARAT DAYA;2020;9;0
PAPUA;2020;9;50583
PAPUA SELATAN;2020;9;0
PAPUA TENGAH;2020;9;0
PAPUA PEGUNUNGAN;2020;9;0
INDONESIA;2020;9;42407466
ACEH;2020;10;340415
SUMATERA UTARA;2020;10;1232110
SUMATERA BARAT;2020;10;672099
RIAU;2020;10;520924
JAMBI;2020;10;240877
SUMATERA SELATAN;2020;10;557537
BENGKULU;2020;10;146378
LAMPUNG;2020;10;788792
KEP. BANGKA BELITUNG;2020;10;81326
KEP. RIAU;2020;10;60644
DKI JAKARTA;2020;10;2466514
JAWA BARAT;2020;10;8455505
JAWA TENGAH;2020;10;11470617
DI YOGYAKARTA;2020;10;1937169
JAWA TIMUR;2020;10;11175527
BANTEN;2020;10;2516445
BALI;2020;10;798998
NUSA TENGGARA BARAT;2020;10;321857
NUSA TENGGARA TIMUR;2020;10;269250
KALIMANTAN BARAT;2020;10;157775
KALIMANTAN TENGAH;2020;10;191431
KALIMANTAN SELATAN;2020;10;401871
KALIMANTAN TIMUR;2020;10;209778
KALIMANTAN UTARA;2020;10;22363
SULAWESI UTARA;2020;10;335445
SULAWESI TENGAH;2020;10;109312
SULAWESI SELATAN;2020;10;959171
SULAWESI TENGGARA;2020;10;193265
GORONTALO;2020;10;108500
SULAWESI BARAT;2020;10;75517
MALUKU;2020;10;29428
MALUKU UTARA;2020;10;50275
PAPUA BARAT;2020;10;26119
PAPUA BARAT DAYA;2020;10;0
PAPUA;2020;10;55847
PAPUA SELATAN;2020;10;0
PAPUA TENGAH;2020;10;0
PAPUA PEGUNUNGAN;2020;10;0
INDONESIA;2020;10;46979081
ACEH;2020;11;322558
SUMATERA UTARA;2020;11;1120288
SUMATERA BARAT;2020;11;661261
RIAU;2020;11;463144
JAMBI;2020;11;242326
SUMATERA SELATAN;2020;11;514748
BENGKULU;2020;11;131395
LAMPUNG;2020;11;737712
KEP. BANGKA BELITUNG;2020;11;86222
KEP. RIAU;2020;11;61440
DKI JAKARTA;2020;11;3248857
JAWA BARAT;2020;11;8397804
JAWA TENGAH;2020;11;11782903
DI YOGYAKARTA;2020;11;1884242
JAWA TIMUR;2020;11;11164569
BANTEN;2020;11;2951355
BALI;2020;11;847456
NUSA TENGGARA BARAT;2020;11;297806
NUSA TENGGARA TIMUR;2020;11;232124
KALIMANTAN BARAT;2020;11;142495
KALIMANTAN TENGAH;2020;11;178377
KALIMANTAN SELATAN;2020;11;373595
KALIMANTAN TIMUR;2020;11;208725
KALIMANTAN UTARA;2020;11;22030
SULAWESI UTARA;2020;11;326566
SULAWESI TENGAH;2020;11;137047
SULAWESI SELATAN;2020;11;906014
SULAWESI TENGGARA;2020;11;191705
GORONTALO;2020;11;101882
SULAWESI BARAT;2020;11;75153
MALUKU;2020;11;30269
MALUKU UTARA;2020;11;48505
PAPUA BARAT;2020;11;32062
PAPUA BARAT DAYA;2020;11;0
PAPUA;2020;11;58583
PAPUA SELATAN;2020;11;0
PAPUA TENGAH;2020;11;0
PAPUA PEGUNUNGAN;2020;11;0
INDONESIA;2020;11;47981218
ACEH;2020;12;479226
SUMATERA UTARA;2020;12;1831624
SUMATERA BARAT;2020;12;1115758
RIAU;2020;12;674613
JAMBI;2020;12;326026
SUMATERA SELATAN;2020;12;745355
BENGKULU;2020;12;184734
LAMPUNG;2020;12;1024964
KEP. BANGKA BELITUNG;2020;12;111916
KEP. RIAU;2020;12;94695
DKI JAKARTA;2020;12;3679663
JAWA BARAT;2020;12;9414524
JAWA TENGAH;2020;12;14465546
DI YOGYAKARTA;2020;12;2210558
JAWA TIMUR;2020;12;13932909
BANTEN;2020;12;3305453
BALI;2020;12;1144499
NUSA TENGGARA BARAT;2020;12;371680
NUSA TENGGARA TIMUR;2020;12;359388
KALIMANTAN BARAT;2020;12;261247
KALIMANTAN TENGAH;2020;12;218817
KALIMANTAN SELATAN;2020;12;470887
KALIMANTAN TIMUR;2020;12;275463
KALIMANTAN UTARA;2020;12;68039
SULAWESI UTARA;2020;12;377599
SULAWESI TENGAH;2020;12;189733
SULAWESI SELATAN;2020;12;1063264
SULAWESI TENGGARA;2020;12;269241
GORONTALO;2020;12;132725
SULAWESI BARAT;2020;12;110693
MALUKU;2020;12;147307
MALUKU UTARA;2020;12;83999
PAPUA BARAT;2020;12;50886
PAPUA BARAT DAYA;2020;12;0
PAPUA;2020;12;136898
PAPUA SELATAN;2020;12;0
PAPUA TENGAH;2020;12;0
PAPUA PEGUNUNGAN;2020;12;0
INDONESIA;2020;12;59329929
ACEH;2021;1;396953
SUMATERA UTARA;2021;1;1424081
SUMATERA BARAT;2021;1;775782
RIAU;2021;1;507998
JAMBI;2021;1;247256
SUMATERA SELATAN;2021;1;541878
BENGKULU;2021;1;139180
LAMPUNG;2021;1;707904
KEP. BANGKA BELITUNG;2021;1;65347
KEP. RIAU;2021;1;60617
DKI JAKARTA;2021;1;2617796
JAWA BARAT;2021;1;6431349
JAWA TENGAH;2021;1;10965887
DI YOGYAKARTA;2021;1;1439708
JAWA TIMUR;2021;1;12801904
BANTEN;2021;1;2505336
BALI;2021;1;735234
NUSA TENGGARA BARAT;2021;1;222304
NUSA TENGGARA TIMUR;2021;1;236790
KALIMANTAN BARAT;2021;1;165093
KALIMANTAN TENGAH;2021;1;153097
KALIMANTAN SELATAN;2021;1;321253
KALIMANTAN TIMUR;2021;1;165649
KALIMANTAN UTARA;2021;1;37548
SULAWESI UTARA;2021;1;252298
SULAWESI TENGAH;2021;1;140380
SULAWESI SELATAN;2021;1;743342
SULAWESI TENGGARA;2021;1;209867
GORONTALO;2021;1;90759
SULAWESI BARAT;2021;1;124447
MALUKU;2021;1;78120
MALUKU UTARA;2021;1;68567
PAPUA BARAT;2021;1;56475
PAPUA BARAT DAYA;2021;1;0
PAPUA;2021;1;124573
PAPUA SELATAN;2021;1;0
PAPUA TENGAH;2021;1;0
PAPUA PEGUNUNGAN;2021;1;0
INDONESIA;2021;1;45554772
ACEH;2021;2;421243
SUMATERA UTARA;2021;2;1375473
SUMATERA BARAT;2021;2;735587
RIAU;2021;2;482533
JAMBI;2021;2;225630
SUMATERA SELATAN;2021;2;511557
BENGKULU;2021;2;131185
LAMPUNG;2021;2;647312
KEP. BANGKA BELITUNG;2021;2;72930
KEP. RIAU;2021;2;64867
DKI JAKARTA;2021;2;3090473
JAWA BARAT;2021;2;6772915
JAWA TENGAH;2021;2;10644269
DI YOGYAKARTA;2021;2;1429155
JAWA TIMUR;2021;2;12582632
BANTEN;2021;2;2674036
BALI;2021;2;627391
NUSA TENGGARA BARAT;2021;2;195816
NUSA TENGGARA TIMUR;2021;2;162261
KALIMANTAN BARAT;2021;2;194460
KALIMANTAN TENGAH;2021;2;151390
KALIMANTAN SELATAN;2021;2;313139
KALIMANTAN TIMUR;2021;2;154006
KALIMANTAN UTARA;2021;2;26992
SULAWESI UTARA;2021;2;284672
SULAWESI TENGAH;2021;2;139294
SULAWESI SELATAN;2021;2;724546
SULAWESI TENGGARA;2021;2;189183
GORONTALO;2021;2;92165
SULAWESI BARAT;2021;2;77882
MALUKU;2021;2;47482
MALUKU UTARA;2021;2;47555
PAPUA BARAT;2021;2;49044
PAPUA BARAT DAYA;2021;2;0
PAPUA;2021;2;56995
PAPUA SELATAN;2021;2;0
PAPUA TENGAH;2021;2;0
PAPUA PEGUNUNGAN;2021;2;0
INDONESIA;2021;2;45396070
ACEH;2021;3;445804
SUMATERA UTARA;2021;3;1415803
SUMATERA BARAT;2021;3;793796
RIAU;2021;3;511576
JAMBI;2021;3;239867
SUMATERA SELATAN;2021;3;553847
BENGKULU;2021;3;137722
LAMPUNG;2021;3;746409
KEP. BANGKA BELITUNG;2021;3;87341
KEP. RIAU;2021;3;75329
DKI JAKARTA;2021;3;3558538
JAWA BARAT;2021;3;8019390
JAWA TENGAH;2021;3;10992293
DI YOGYAKARTA;2021;3;1684846
JAWA TIMUR;2021;3;12511219
BANTEN;2021;3;2951840
BALI;2021;3;739544
NUSA TENGGARA BARAT;2021;3;244434
NUSA TENGGARA TIMUR;2021;3;222653
KALIMANTAN BARAT;2021;3;188046
KALIMANTAN TENGAH;2021;3;167356
KALIMANTAN SELATAN;2021;3;351197
KALIMANTAN TIMUR;2021;3;194579
KALIMANTAN UTARA;2021;3;27340
SULAWESI UTARA;2021;3;316834
SULAWESI TENGAH;2021;3;177093
SULAWESI SELATAN;2021;3;847765
SULAWESI TENGGARA;2021;3;208125
GORONTALO;2021;3;103269
SULAWESI BARAT;2021;3;81571
MALUKU;2021;3;48787
MALUKU UTARA;2021;3;54200
PAPUA BARAT;2021;3;41249
PAPUA BARAT DAYA;2021;3;0
PAPUA;2021;3;69170
PAPUA SELATAN;2021;3;0
PAPUA TENGAH;2021;3;0
PAPUA PEGUNUNGAN;2021;3;0
INDONESIA;2021;3;48808832
ACEH;2021;4;378402
SUMATERA UTARA;2021;4;1369304
SUMATERA BARAT;2021;4;712644
RIAU;2021;4;451372
JAMBI;2021;4;226476
SUMATERA SELATAN;2021;4;516146
BENGKULU;2021;4;124531
LAMPUNG;2021;4;706069
KEP. BANGKA BELITUNG;2021;4;84283
KEP. RIAU;2021;4;70355
DKI JAKARTA;2021;4;3486742
JAWA BARAT;2021;4;7535164
JAWA TENGAH;2021;4;10783115
DI YOGYAKARTA;2021;4;1637275
JAWA TIMUR;2021;4;11833348
BANTEN;2021;4;2864905
BALI;2021;4;913033
NUSA TENGGARA BARAT;2021;4;237622
NUSA TENGGARA TIMUR;2021;4;173424
KALIMANTAN BARAT;2021;4;171318
KALIMANTAN TENGAH;2021;4;155904
KALIMANTAN SELATAN;2021;4;328515
KALIMANTAN TIMUR;2021;4;189339
KALIMANTAN UTARA;2021;4;22191
SULAWESI UTARA;2021;4;319841
SULAWESI TENGAH;2021;4;154719
SULAWESI SELATAN;2021;4;765199
SULAWESI TENGGARA;2021;4;187883
GORONTALO;2021;4;89741
SULAWESI BARAT;2021;4;70523
MALUKU;2021;4;71019
MALUKU UTARA;2021;4;51844
PAPUA BARAT;2021;4;35284
PAPUA BARAT DAYA;2021;4;0
PAPUA;2021;4;86207
PAPUA SELATAN;2021;4;0
PAPUA TENGAH;2021;4;0
PAPUA PEGUNUNGAN;2021;4;0
INDONESIA;2021;4;46803737
ACEH;2021;5;599117
SUMATERA UTARA;2021;5;1674445
SUMATERA BARAT;2021;5;1025889
RIAU;2021;5;501143
JAMBI;2021;5;280176
SUMATERA SELATAN;2021;5;608248
BENGKULU;2021;5;179928
LAMPUNG;2021;5;975559
KEP. BANGKA BELITUNG;2021;5;93531
KEP. RIAU;2021;5;50771
DKI JAKARTA;2021;5;3671451
